"","Theme","Category","Source","Valence_mean_men","Valence_SD_men","Valence_N_men","Arousal_mean_men","Arousal_SD_men","Arousal_N_men","Valence_mean_women","Valence_SD_women","Valence_N_women","Arousal_mean_women","Arousal_SD_women","Arousal_N_women"
"I535","Nude couple 9","3","Flickr/Jaume Ventura","5.2","1.42382327810467","45","5.14285714285714","1.25667051338876","56","5.16326530612245","1.44837464616247","49","4.96153846153846","1.29798544451699","52"
"I536","Nude couple 10","3","Wikipedia","5.63636363636364","1.05854022104839","44","5.39655172413793","1.05862630572474","58","4.61702127659574","1.24329840920033","47","4.05769230769231","1.55189272848479","52"
"I537","Nude couple 11","3","Wikipedia","5.2","1.51657508881031","45","4.25","1.91880644720049","56","6.04081632653061","1.47138233861718","49","5.42307692307692","1.79701445045478","52"
"I538","Nude couple 12","3","Flickr/dat","5.28888888888889","1.3588468075779","45","4.91071428571429","1.22514245129863","56","5.51020408163265","1.17477744309989","49","4.94230769230769","1.22735905765601","52"
"I539","Nude couple 13","3","Wikipedia","5.86363636363636","0.795069372164411","44","5.74137931034483","1.19296688719779","58","4.65957446808511","1.59178045985539","47","4.38461538461539","1.59845324934666","52"
"I540","Nude couple 14","3","Wikipedia","5.12068965517241","1.94735615829758","58","4.46511627906977","2.10836019793879","43","6.14285714285714","1.3228756555323","49","5.13207547169811","2.20172778175771","53"
"I541","Nude man 1","3","Flickr/Charles Roffey","4.25","0.943151569855519","44","4.48275862068965","0.777792181470063","58","2.95744680851064","1.74402641095517","47","3.61538461538462","1.48395135158681","52"
"I542","Nude man 2","3","Flickr/Charles Roffey","4.26666666666667","1.23214520986035","45","4.57142857142857","0.870885502486727","56","2.85714285714286","1.5","49","3.25","1.69051564241651","52"
"I543","Nude man 4","3","Flickr/Swire","4.22727272727273","1.36166171333576","44","4.86206896551724","1.29029135649046","58","3.17021276595745","1.92601355514859","47","4.17307692307692","1.47822301703243","52"
"I544","Nude man 5","3","Flickr/Travis75","4.10344827586207","1.41035836148264","58","5.53488372093023","1.05444269209813","43","2.81632653061224","1.98613390564596","49","4.32075471698113","1.55382388005131","53"
"I545","Nude man 6","3","Flickr/sea turtle","4.02272727272727","1.22926781693434","44","3.98275862068966","1.17714163631312","58","3.27659574468085","1.84981935263225","47","3.76923076923077","1.57946857053542","52"
"I546","Nude man 7","3","Flickr/O. G.","4.13793103448276","1.03361528460246","58","5.02325581395349","1.1230988612089","43","2.91836734693878","2.06999129118415","49","4.49056603773585","1.58869372453058","53"
"I547","Nude man 8","3","Flickr/John Goodridge","2.94827586206897","1.43175041676207","58","3.46511627906977","1.89421220223861","43","3.16326530612245","2.09510280948524","49","4.28301886792453","2.05105374878534","53"
"I548","Nude man 9","3","Flickr/Rodrigo S_ Barreto","3.21052631578947","1.12974147019293","57","3.6078431372549","0.801958387263305","51","2.71428571428571","1.68325082306035","49","4.2","1.62617478902006","55"
"I549","Nude man 10","3","Wikipedia","3.32758620689655","1.51469910201035","58","3.83720930232558","1.63197561487004","43","3.02040816326531","2.12612515230532","49","4.33962264150943","2.15677284052618","53"
"I550","Nude man 11","3","Wikipedia","2.97727272727273","1.81067424630043","44","3.32758620689655","1.80046710347165","58","3.72340425531915","2.43794396322138","47","4.63461538461539","1.97065576976192","52"
"I551","Nude man 12","3","Flickr/Chris Hunkeler","4.56896551724138","1.10995604410387","58","4.7906976744186","0.98942358243103","43","2.6734693877551","1.86399833581427","49","4.09433962264151","1.5598835131977","53"
