timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1595393086.719,51.270,-35.156,-2.930,-7.324,0.000,0
1595393086.723,-83.984,-35.645,-10.742,-7.812,0.000,0
1595393086.726,-117.676,-35.156,-11.230,-17.578,0.000,0
1595393086.730,4.395,-34.668,2.441,-25.391,0.000,0
1595393086.734,65.918,-30.762,-0.977,-20.996,0.000,0
1595393086.738,-42.969,-34.180,-14.160,-8.789,0.000,0
1595393086.742,-117.676,-30.762,-10.742,-5.371,0.000,0
1595393086.746,-11.230,-27.832,2.441,-11.719,0.000,0
1595393086.750,90.332,-31.738,-5.371,-11.230,0.000,0
1595393086.754,11.230,-31.738,-6.348,-1.953,0.000,0
1595393086.758,-102.051,-30.273,-2.930,-3.418,0.000,0
1595393086.762,-41.016,-33.691,-8.789,-4.883,0.000,0
1595393086.766,75.684,-34.180,-7.812,-0.977,0.000,0
1595393086.769,29.785,-36.133,-13.672,-8.301,0.000,0
1595393086.773,-83.496,-31.738,-7.324,0.977,0.000,0
1595393086.777,-60.547,-27.344,-10.742,9.766,0.000,0
1595393086.781,50.293,-29.785,-21.973,-13.672,0.000,0
1595393086.785,56.152,-30.273,-30.762,-28.320,0.000,0
1595393086.789,-62.012,-32.715,-38.574,-25.879,0.000,0
1595393086.793,-106.445,-29.297,-41.016,-25.391,0.000,0
1595393086.797,9.277,-26.367,-39.062,-30.273,0.000,0
1595393086.801,70.801,-21.973,-41.992,-32.227,0.000,0
1595393086.805,-41.016,-20.508,-38.086,-28.809,0.000,0
1595393086.808,-132.324,-23.438,-47.852,-15.625,0.000,0
1595393086.812,-44.434,-20.020,-49.805,-23.438,0.000,0
1595393086.816,57.129,-20.020,-40.527,-46.387,0.000,0
1595393086.820,-9.766,-19.043,-37.598,-33.691,0.000,0
1595393086.824,-123.047,-19.043,-45.410,-26.367,0.000,0
1595393086.828,-65.918,-19.531,-46.387,-30.762,0.000,0
1595393086.832,70.312,-18.555,-40.527,-25.391,0.000,0
1595393086.836,41.992,-21.484,-41.992,-20.020,0.000,0
1595393086.840,-85.938,-22.461,-49.316,-17.090,0.000,0
1595393086.844,-87.891,-27.344,-64.941,-18.555,0.000,0
1595393086.848,41.992,-25.391,-45.898,-23.438,0.000,0
1595393086.851,78.125,-21.484,-41.504,-26.367,0.000,0
1595393086.855,-51.758,-29.785,-54.688,-25.879,0.000,0
1595393086.859,-115.234,-34.668,-57.617,-22.461,0.000,0
1595393086.863,2.930,-32.715,-44.922,-22.949,0.000,0
1595393086.867,83.008,-32.715,-41.504,-23.438,0.000,0
1595393086.871,-20.020,-32.715,-49.805,-20.020,0.000,0
1595393086.875,-116.699,-33.203,-53.711,-20.508,0.000,0
1595393086.879,-34.180,-35.156,-40.527,-19.531,0.000,0
1595393086.883,88.379,-30.762,-33.203,-5.371,0.000,0
1595393086.887,35.645,-29.785,-41.504,6.348,0.000,0
1595393086.891,-90.332,-30.762,-43.457,6.348,0.000,0
1595393086.894,-58.105,-32.227,-32.715,1.465,0.000,0
1595393086.898,66.406,-35.156,-26.855,-1.953,0.000,0
1595393086.902,56.152,-32.227,-29.297,-4.883,0.000,0
1595393086.906,-65.918,-27.832,-30.273,-4.883,0.000,0
1595393086.910,-71.777,-28.320,-34.180,-2.930,0.000,0
1595393086.914,52.246,-29.297,-31.738,-1.953,0.000,0
1595393086.918,93.262,-29.785,-43.457,-1.465,0.000,0
1595393086.922,-23.438,-32.227,-48.828,-7.812,0.000,0
1595393086.926,-87.891,-33.691,-54.688,-8.301,0.000,0
1595393086.930,20.508,-31.738,-51.270,-6.836,0.000,0
1595393086.933,102.539,-34.668,-58.105,-5.371,0.000,0
