timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1595390078.787,-77.637,-54.199,-42.480,-9.277,0.000,0
1595390078.791,-38.574,-51.270,-37.598,-0.977,0.000,0
1595390078.795,54.688,-57.129,-33.691,-0.488,0.000,0
1595390078.799,30.762,-64.941,-37.598,-9.766,0.000,0
1595390078.803,-63.965,-63.477,-40.039,-4.395,0.000,0
1595390078.807,-54.199,-62.012,-39.062,-7.324,0.000,0
1595390078.811,35.156,-58.105,-37.598,-16.113,0.000,0
1595390078.815,51.758,-48.340,-31.738,-3.418,0.000,0
1595390078.819,-35.156,-45.898,-28.320,8.789,0.000,0
1595390078.823,-70.312,-50.293,-34.668,10.254,0.000,0
1595390078.826,15.137,-45.898,-33.691,8.789,0.000,0
1595390078.830,70.312,-41.016,-31.738,0.977,0.000,0
1595390078.834,-12.695,-41.992,-34.668,-1.953,0.000,0
1595390078.838,-83.496,-44.922,-39.551,-2.441,0.000,0
1595390078.842,-16.113,-41.992,-40.039,-4.883,0.000,0
1595390078.846,57.129,-39.062,-41.016,-8.301,0.000,0
1595390078.850,9.766,-38.086,-38.086,-1.465,0.000,0
1595390078.854,-65.918,-42.969,-37.598,1.953,0.000,0
1595390078.858,-32.715,-46.875,-40.527,-4.883,0.000,0
1595390078.862,53.223,-40.039,-33.203,-7.324,0.000,0
1595390078.866,34.180,-40.527,-32.227,-6.836,0.000,0
1595390078.869,-59.082,-50.781,-41.992,-7.324,0.000,0
1595390078.873,-64.941,-58.105,-47.363,-7.324,0.000,0
1595390078.877,21.973,-57.129,-45.898,-11.230,0.000,0
1595390078.881,46.875,-55.664,-45.410,-10.742,0.000,0
1595390078.885,-36.133,-56.641,-41.504,-5.859,0.000,0
1595390078.889,-78.613,-51.270,-34.180,-6.348,0.000,0
1595390078.893,-3.906,-46.875,-29.297,-7.324,0.000,0
1595390078.897,52.734,-48.340,-34.180,-2.441,0.000,0
1595390078.901,-10.742,-45.410,-39.551,1.465,0.000,0
1595390078.905,-80.566,-40.039,-41.504,-0.977,0.000,0
1595390078.909,-24.902,-42.480,-36.133,-7.324,0.000,0
1595390078.912,66.895,-42.480,-28.809,-9.277,0.000,0
1595390078.916,24.414,-38.574,-27.344,-8.789,0.000,0
1595390078.920,-75.195,-40.527,-26.367,-7.324,0.000,0
1595390078.924,-54.199,-39.062,-21.484,-15.625,0.000,0
1595390078.928,37.109,-40.039,-24.902,-22.949,0.000,0
1595390078.932,28.320,-44.922,-29.297,-18.066,0.000,0
1595390078.936,-71.289,-43.457,-29.297,-30.762,0.000,0
1595390078.940,-92.773,-33.691,-28.809,-45.898,0.000,0
1595390078.944,-25.879,-33.203,-26.367,-56.152,0.000,0
1595390078.948,-20.508,-42.969,-31.738,-83.008,0.000,0
1595390078.951,-117.188,-41.504,-28.320,-96.680,0.000,0
1595390078.955,-171.875,-33.203,-20.508,-100.586,0.000,0
1595390078.959,-118.164,-45.410,-22.949,-122.070,0.000,0
1595390078.963,-84.961,-52.246,-21.973,-139.160,0.000,0
1595390078.967,-149.902,-37.109,-11.719,-143.066,0.000,0
1595390078.971,-237.305,-36.621,-16.602,-162.598,0.000,0
1595390078.975,-240.723,-47.852,-19.043,-202.148,0.000,0
1595390078.979,-169.434,-42.480,-18.555,-222.168,0.000,0
1595390078.983,-200.684,-37.109,-20.020,-231.934,0.000,0
1595390078.987,-332.520,-45.898,-23.926,-267.578,0.000,0
