timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1596692431.224,-15.137,-32.227,-17.090,-27.344,0.000,0
1596692431.228,-10.254,-32.227,-12.695,-18.555,0.000,0
1596692431.232,-3.906,-32.227,-10.742,-16.113,0.000,0
1596692431.236,-17.090,-38.574,-11.719,-34.668,0.000,0
1596692431.240,-33.203,-41.016,-9.277,-35.645,0.000,0
1596692431.244,-28.320,-39.551,-9.277,-25.879,0.000,0
1596692431.248,-21.484,-41.016,-9.277,-22.461,0.000,0
1596692431.252,-21.484,-39.551,-14.648,-19.531,0.000,0
1596692431.256,-30.273,-37.109,-16.602,-30.273,0.000,0
1596692431.259,-32.715,-33.691,-8.301,-32.227,0.000,0
1596692431.263,-18.555,-32.227,-7.812,-20.020,0.000,0
1596692431.267,-14.648,-27.832,-2.930,-25.391,0.000,0
1596692431.271,-11.719,-19.531,3.418,-41.504,0.000,0
1596692431.275,-19.531,-20.996,-6.836,-46.387,0.000,0
1596692431.279,-29.785,-30.273,-11.230,-35.156,0.000,0
1596692431.283,-30.273,-30.273,-12.207,-28.320,0.000,0
1596692431.287,-30.762,-29.297,-15.625,-36.621,0.000,0
1596692431.291,-27.344,-25.391,-13.184,-39.551,0.000,0
1596692431.295,-17.090,-21.973,-6.348,-32.227,0.000,0
1596692431.298,-17.578,-27.344,-5.371,-22.949,0.000,0
1596692431.302,-30.762,-25.391,-1.953,-31.250,0.000,0
1596692431.306,-35.156,-24.902,-1.465,-43.945,0.000,0
1596692431.310,-40.039,-26.855,-4.395,-37.598,0.000,0
1596692431.314,-38.086,-25.391,-3.906,-25.391,0.000,0
1596692431.318,-30.762,-24.414,-0.488,-29.297,0.000,0
1596692431.322,-29.785,-24.902,-2.441,-32.227,0.000,0
1596692431.326,-28.809,-29.297,-6.348,-28.809,0.000,0
1596692431.330,-24.414,-26.855,-6.348,-21.973,0.000,0
1596692431.334,-20.996,-23.438,-5.859,-19.531,0.000,0
1596692431.338,-22.461,-27.832,-2.930,-26.855,0.000,0
1596692431.341,-20.020,-30.762,-3.418,-18.066,0.000,0
1596692431.345,-16.113,-28.809,-3.418,-2.930,0.000,0
1596692431.349,-20.508,-28.320,0.488,-9.277,0.000,0
1596692431.353,-22.949,-29.297,0.977,-12.207,0.000,0
1596692431.357,-15.625,-28.809,1.953,-9.766,0.000,0
1596692431.361,-13.672,-28.320,-0.977,-8.301,0.000,0
1596692431.365,-26.367,-29.297,-5.371,-9.766,0.000,0
1596692431.369,-33.691,-32.227,-7.324,-30.273,0.000,0
1596692431.373,-28.809,-28.809,-7.812,-32.227,0.000,0
1596692431.377,-31.250,-25.879,-12.207,-25.391,0.000,0
1596692431.381,-34.668,-30.762,-10.742,-24.902,0.000,0
1596692431.384,-26.855,-31.250,-7.812,-20.020,0.000,0
1596692431.388,-35.156,-31.250,-12.207,-36.133,0.000,0
1596692431.392,-34.668,-22.461,-8.301,-32.715,0.000,0
1596692431.396,-26.367,-19.531,-7.324,-18.555,0.000,0
1596692431.400,-28.809,-24.902,-11.719,-27.344,0.000,0
1596692431.404,-35.645,-21.973,-20.508,-43.457,0.000,0
1596692431.408,-40.527,-23.438,-24.414,-56.641,0.000,0
1596692431.412,-43.457,-27.832,-21.973,-47.852,0.000,0
1596692431.416,-42.969,-24.902,-23.438,-36.621,0.000,0
1596692431.420,-42.969,-23.438,-18.066,-48.828,0.000,0
1596692431.423,-42.480,-25.879,-14.648,-56.641,0.000,0
1596692431.427,-31.250,-29.785,-18.555,-46.387,0.000,0
1596692431.431,-25.879,-35.156,-24.902,-33.691,0.000,0
1596692431.435,-30.762,-28.809,-23.438,-39.551,0.000,0
1596692431.439,-36.621,-17.578,-18.066,-48.828,0.000,0
1596692431.443,-33.691,-19.531,-12.695,-40.527,0.000,0
1596692431.447,-27.344,-30.273,-13.672,-37.109,0.000,0
1596692431.451,-29.785,-28.809,-15.137,-38.574,0.000,0
1596692431.455,-35.645,-20.508,-10.254,-46.387,0.000,0
1596692431.459,-29.785,-24.414,-7.324,-42.480,0.000,0
1596692431.463,-24.414,-30.273,-4.395,-31.250,0.000,0
1596692431.466,-31.738,-28.809,-4.395,-31.738,0.000,0
1596692431.470,-32.715,-26.855,-5.859,-31.250,0.000,0
1596692431.474,-33.691,-30.762,-10.742,-39.062,0.000,0
1596692431.478,-29.785,-34.180,-13.672,-37.598,0.000,0
1596692431.482,-26.855,-30.762,-8.301,-26.855,0.000,0
1596692431.486,-36.621,-27.344,-11.230,-36.621,0.000,0
1596692431.490,-40.527,-29.297,-19.531,-43.945,0.000,0
1596692431.494,-31.738,-30.762,-15.137,-34.668,0.000,0
1596692431.498,-22.949,-30.273,-13.184,-26.367,0.000,0
1596692431.502,-33.691,-29.297,-11.719,-38.574,0.000,0
1596692431.506,-44.922,-33.691,-9.277,-46.875,0.000,0
1596692431.509,-39.551,-32.227,-11.719,-35.156,0.000,0
1596692431.513,-36.621,-26.367,-9.766,-35.156,0.000,0
1596692431.517,-37.109,-31.738,-5.859,-40.039,0.000,0
1596692431.521,-38.574,-36.621,-12.207,-47.363,0.000,0
1596692431.525,-39.062,-36.133,-19.043,-41.504,0.000,0
1596692431.529,-33.691,-33.691,-22.461,-32.715,0.000,0
1596692431.533,-35.645,-35.645,-22.949,-35.645,0.000,0
1596692431.537,-39.062,-37.598,-18.066,-32.227,0.000,0
1596692431.541,-38.574,-32.715,-16.113,-31.250,0.000,0
1596692431.545,-35.156,-24.902,-16.602,-31.738,0.000,0
1596692431.548,-26.855,-23.926,-11.230,-23.438,0.000,0
1596692431.552,-25.391,-23.438,-1.953,-22.949,0.000,0
1596692431.556,-22.461,-21.973,1.953,-30.762,0.000,0
1596692431.560,-15.137,-23.926,-3.418,-29.785,0.000,0
1596692431.564,-18.555,-27.344,-10.254,-26.855,0.000,0
1596692431.568,-20.508,-27.344,-6.348,-26.367,0.000,0
