timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1595392943.094,146.484,-27.832,-13.184,-11.230,0.000,0
1595392943.098,-75.195,-24.902,-20.996,-8.301,0.000,0
1595392943.101,-128.418,-22.461,-18.066,-2.930,0.000,0
1595392943.105,75.195,-25.391,-11.230,-3.906,0.000,0
1595392943.109,166.992,-23.438,-13.184,-0.977,0.000,0
1595392943.113,-11.230,-18.555,-13.184,6.836,0.000,0
1595392943.117,-143.555,-18.555,-10.254,6.836,0.000,0
1595392943.121,8.301,-26.367,1.465,1.465,0.000,0
1595392943.125,168.457,-28.809,-9.766,7.812,0.000,0
1595392943.129,35.645,-26.855,-20.508,7.812,0.000,0
1595392943.133,-150.391,-31.738,-20.020,0.488,0.000,0
1595392943.137,-56.641,-33.203,-19.043,3.906,0.000,0
1595392943.141,154.297,-22.949,0.977,-3.418,0.000,0
1595392943.144,104.492,-22.461,1.953,-2.441,0.000,0
1595392943.148,-117.676,-31.250,-11.719,1.953,0.000,0
1595392943.152,-104.004,-29.297,-17.578,-0.977,0.000,0
1595392943.156,121.582,-25.391,3.906,-2.441,0.000,0
1595392943.160,148.438,-30.273,8.301,0.488,0.000,0
1595392943.164,-64.453,-33.203,3.418,4.395,0.000,0
1595392943.168,-142.090,-29.297,-12.207,0.000,0.000,0
1595392943.172,48.828,-30.762,-16.113,-0.977,0.000,0
1595392943.176,165.039,-28.809,-4.883,3.906,0.000,0
1595392943.180,-15.137,-24.902,-8.301,5.371,0.000,0
1595392943.183,-157.227,-27.832,-29.297,5.859,0.000,0
1595392943.187,-2.930,-23.438,-23.926,3.418,0.000,0
1595392943.191,168.457,-18.555,-4.395,0.488,0.000,0
1595392943.195,57.129,-23.926,-5.859,1.953,0.000,0
1595392943.199,-135.254,-26.855,-16.113,3.906,0.000,0
1595392943.203,-63.965,-29.785,-15.137,-1.953,0.000,0
1595392943.207,146.484,-32.227,-4.395,-7.324,0.000,0
1595392943.211,115.234,-25.879,-0.977,0.488,0.000,0
1595392943.215,-105.957,-25.391,-18.066,7.324,0.000,0
1595392943.219,-108.887,-22.949,-18.555,0.488,0.000,0
1595392943.223,116.699,-15.137,8.789,-7.812,0.000,0
1595392943.226,164.062,-15.625,-0.977,-3.906,0.000,0
1595392943.230,-50.781,-17.578,-7.812,2.930,0.000,0
1595392943.234,-138.184,-22.461,-11.230,1.465,0.000,0
1595392943.238,52.246,-20.996,2.441,1.953,0.000,0
1595392943.242,174.805,-16.602,3.906,-0.977,0.000,0
1595392943.246,16.602,-16.113,-6.836,-16.602,0.000,0
1595392943.250,-143.066,-17.578,-16.602,-19.531,0.000,0
1595392943.254,-16.602,-19.043,-17.578,-12.695,0.000,0
1595392943.258,165.527,-20.508,-8.789,-13.184,0.000,0
1595392943.262,65.918,-19.531,-3.418,-16.602,0.000,0
1595392943.266,-137.207,-18.066,-5.371,-15.137,0.000,0
1595392943.269,-78.613,-19.531,-6.836,-14.648,0.000,0
1595392943.273,136.719,-24.902,-8.301,-18.555,0.000,0
1595392943.277,120.117,-22.949,-11.230,-8.789,0.000,0
1595392943.281,-100.586,-22.949,3.906,-2.930,0.000,0
1595392943.285,-126.953,-28.320,-4.395,-4.883,0.000,0
1595392943.289,93.262,-29.297,2.930,-5.859,0.000,0
1595392943.293,166.016,-25.879,8.789,-3.418,0.000,0
1595392943.297,-40.527,-23.926,-2.441,-4.883,0.000,0
1595392943.301,-145.508,-28.320,-17.090,-14.648,0.000,0
1595392943.305,33.203,-26.855,-15.137,-13.672,0.000,0
1595392943.308,169.922,-22.461,-4.883,-12.207,0.000,0
1595392943.312,26.367,-21.973,4.883,-15.137,0.000,0
1595392943.316,-145.020,-21.484,-10.742,-9.277,0.000,0
1595392943.320,-29.785,-24.902,-11.719,-11.719,0.000,0
1595392943.324,166.504,-24.414,6.348,-7.324,0.000,0
1595392943.328,79.590,-26.855,6.348,-3.906,0.000,0
1595392943.332,-134.277,-31.738,-11.230,-5.859,0.000,0
1595392943.336,-85.938,-29.785,-14.648,-3.418,0.000,0
1595392943.340,134.277,-22.461,5.859,-1.465,0.000,0
1595392943.344,135.254,-19.043,1.465,-10.742,0.000,0
1595392943.348,-86.426,-25.879,-22.949,-14.648,0.000,0
1595392943.351,-128.418,-23.438,-37.598,-0.977,0.000,0
1595392943.355,89.844,-17.578,-11.230,-4.395,0.000,0
1595392943.359,179.199,-13.672,-10.742,-8.789,0.000,0
1595392943.363,-10.254,-15.625,-29.297,1.465,0.000,0
1595392943.367,-131.836,-16.113,-31.738,3.906,0.000,0
1595392943.371,31.250,-15.137,-9.766,-3.418,0.000,0
1595392943.375,184.570,-20.996,-11.719,-2.930,0.000,0
1595392943.379,51.758,-20.996,-30.273,-3.906,0.000,0
1595392943.383,-132.324,-19.043,-31.738,4.395,0.000,0
1595392943.387,-40.527,-20.508,-20.020,-3.418,0.000,0
1595392943.391,162.598,-19.531,-13.184,-18.555,0.000,0
1595392943.394,99.121,-22.461,-24.414,-2.441,0.000,0
1595392943.398,-122.070,-30.273,-34.668,-3.418,0.000,0
1595392943.402,-97.168,-26.855,-28.809,-21.484,0.000,0
1595392943.406,122.559,-26.367,-11.719,-13.184,0.000,0
1595392943.410,142.578,-32.715,-27.344,-1.465,0.000,0
1595392943.414,-73.730,-27.832,-31.738,-5.371,0.000,0
1595392943.418,-138.672,-21.973,-28.320,-3.906,0.000,0
1595392943.422,69.824,-23.926,-17.090,-4.883,0.000,0
1595392943.426,166.504,-22.461,-15.625,-8.301,0.000,0
1595392943.430,-15.137,-15.625,-12.207,-5.371,0.000,0
1595392943.433,-142.578,-17.578,-11.230,-2.441,0.000,0
1595392943.437,10.742,-16.602,-15.137,-1.465,0.000,0
1595392943.441,167.969,-18.066,-20.508,-8.301,0.000,0
1595392943.445,42.969,-24.902,-23.926,-15.137,0.000,0
1595392943.449,-141.113,-26.855,-23.438,-12.207,0.000,0
1595392943.453,-55.664,-27.344,-27.344,-7.812,0.000,0
1595392943.457,144.531,-24.902,-18.555,-4.883,0.000,0
1595392943.461,98.145,-24.414,-16.113,-9.766,0.000,0
1595392943.465,-120.117,-27.832,-26.367,-6.348,0.000,0
1595392943.469,-111.328,-26.367,-22.949,-0.977,0.000,0
1595392943.473,116.699,-21.973,-5.859,-3.418,0.000,0
1595392943.476,151.367,-20.996,-2.441,-3.418,0.000,0
1595392943.480,-60.547,-25.879,-4.395,1.953,0.000,0
1595392943.484,-135.742,-27.832,-18.555,7.812,0.000,0
1595392943.488,62.988,-23.926,-13.184,0.000,0.000,0
1595392943.492,174.805,-21.973,-0.977,-5.859,0.000,0
1595392943.496,3.418,-27.832,-4.395,-1.953,0.000,0
1595392943.500,-141.113,-36.621,-25.391,-4.883,0.000,0
1595392943.504,-4.395,-32.715,-18.555,-19.531,0.000,0
1595392943.508,175.293,-23.926,-0.488,-15.625,0.000,0
1595392943.512,72.754,-20.508,-4.883,-4.883,0.000,0
1595392943.516,-137.695,-30.273,-24.414,-7.324,0.000,0
1595392943.519,-79.102,-34.668,-19.043,-15.137,0.000,0
1595392943.523,138.672,-28.320,-1.953,-22.461,0.000,0
1595392943.527,113.770,-29.785,-11.230,-18.066,0.000,0
1595392943.531,-111.816,-31.250,-20.020,-4.883,0.000,0
1595392943.535,-123.047,-25.879,-18.555,-3.906,0.000,0
1595392943.539,98.145,-23.438,-2.441,-13.184,0.000,0
