timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1595393584.504,63.965,-32.227,-18.066,-26.367,0.000,0
1595393584.508,187.988,-29.785,-12.207,-7.324,0.000,0
1595393584.511,-61.035,-32.715,-14.160,-20.996,0.000,0
1595393584.515,-228.027,-29.297,-14.160,-28.320,0.000,0
1595393584.519,-19.043,-25.879,-12.207,-27.344,0.000,0
1595393584.523,197.754,-25.391,-14.160,-16.113,0.000,0
1595393584.527,39.551,-26.855,-16.602,-14.160,0.000,0
1595393584.531,-221.191,-26.367,-17.578,-31.250,0.000,0
1595393584.535,-114.746,-27.832,-15.137,-30.762,0.000,0
1595393584.539,168.945,-29.785,-12.207,-22.461,0.000,0
1595393584.543,112.305,-31.738,-12.207,-21.484,0.000,0
1595393584.547,-188.965,-34.668,-19.531,-32.227,0.000,0
1595393584.551,-181.641,-32.715,-18.555,-37.109,0.000,0
1595393584.554,118.652,-25.391,-16.113,-32.715,0.000,0
1595393584.558,184.082,-18.066,-23.926,-24.414,0.000,0
1595393584.562,-95.703,-19.043,-24.902,-6.836,0.000,0
1595393584.566,-187.988,-27.344,-17.578,-9.277,0.000,0
1595393584.570,62.012,-27.832,-14.160,-28.320,0.000,0
1595393584.574,182.129,-25.879,-10.742,-19.043,0.000,0
1595393584.578,-30.762,-29.785,-9.277,-12.207,0.000,0
1595393584.582,-240.234,-36.133,-12.207,-41.992,0.000,0
1595393584.586,-59.570,-40.527,-10.254,-46.875,0.000,0
1595393584.590,179.688,-35.645,-7.812,-26.367,0.000,0
1595393584.594,23.438,-32.227,-5.859,-28.320,0.000,0
1595393584.597,-235.840,-36.133,-2.441,-41.016,0.000,0
1595393584.601,-136.230,-37.598,-8.789,-44.434,0.000,0
1595393584.605,145.508,-38.574,-17.578,-31.738,0.000,0
1595393584.609,114.258,-41.016,-14.648,-16.113,0.000,0
1595393584.613,-173.340,-38.086,-10.742,-16.602,0.000,0
1595393584.617,-190.430,-37.109,-10.254,-18.066,0.000,0
1595393584.621,95.703,-41.016,-9.277,-11.230,0.000,0
1595393584.625,165.039,-45.898,-11.230,-9.766,0.000,0
1595393584.629,-105.957,-52.246,-14.648,-26.855,0.000,0
1595393584.633,-226.562,-50.781,-18.555,-35.645,0.000,0
1595393584.636,18.066,-44.922,-17.090,-28.320,0.000,0
1595393584.640,180.664,-44.434,-14.160,-19.531,0.000,0
1595393584.644,-21.484,-42.969,-13.184,-15.625,0.000,0
1595393584.648,-232.422,-47.363,-14.648,-20.996,0.000,0
1595393584.652,-75.195,-46.875,-14.160,-34.180,0.000,0
1595393584.656,174.316,-40.039,-11.719,-27.344,0.000,0
1595393584.660,67.383,-36.133,-12.207,-14.648,0.000,0
1595393584.664,-203.125,-40.527,-8.789,-21.484,0.000,0
1595393584.668,-150.391,-46.875,-5.859,-30.273,0.000,0
1595393584.672,129.883,-46.387,-10.742,-29.785,0.000,0
1595393584.676,125.977,-43.945,-12.695,-23.438,0.000,0
1595393584.679,-168.457,-49.805,-13.184,-25.879,0.000,0
1595393584.683,-219.238,-54.688,-15.625,-37.109,0.000,0
1595393584.687,74.707,-47.363,-14.648,-37.598,0.000,0
1595393584.691,184.570,-42.480,-15.137,-27.832,0.000,0
1595393584.695,-84.961,-45.410,-13.672,-26.367,0.000,0
1595393584.699,-240.234,-43.945,-16.602,-35.645,0.000,0
1595393584.703,-4.395,-34.668,-15.625,-31.738,0.000,0
1595393584.707,193.848,-36.621,-12.695,-22.949,0.000,0
1595393584.711,2.441,-42.480,-16.113,-22.461,0.000,0
1595393584.715,-228.027,-39.062,-17.090,-29.785,0.000,0
1595393584.719,-83.008,-36.133,-12.207,-34.668,0.000,0
1595393584.722,178.711,-37.598,-11.230,-30.273,0.000,0
1595393584.726,86.426,-38.574,-16.602,-24.902,0.000,0
1595393584.730,-190.918,-36.621,-19.043,-28.809,0.000,0
1595393584.734,-152.832,-33.203,-22.461,-46.875,0.000,0
1595393584.738,139.648,-33.203,-15.137,-40.527,0.000,0
1595393584.742,161.133,-33.691,-5.859,-21.973,0.000,0
1595393584.746,-134.277,-34.180,-12.207,-30.273,0.000,0
1595393584.750,-208.008,-31.250,-18.066,-37.598,0.000,0
1595393584.754,71.777,-28.320,-15.137,-33.691,0.000,0
1595393584.758,200.684,-28.320,-10.254,-24.902,0.000,0
1595393584.761,-38.574,-30.273,-9.766,-12.695,0.000,0
1595393584.765,-216.797,-32.227,-13.672,-26.855,0.000,0
1595393584.769,-24.414,-28.809,-14.648,-37.109,0.000,0
1595393584.773,194.336,-29.297,-9.766,-23.438,0.000,0
1595393584.777,41.504,-36.133,-12.207,-18.555,0.000,0
1595393584.781,-215.332,-33.203,-18.555,-30.273,0.000,0
1595393584.785,-105.957,-28.320,-19.043,-37.598,0.000,0
